customer_id,age,customer_segment,product_category,payment_type,average_order_value,discount_percentage,customer_tenure_days,return_rate,purchase_frequency,engagement_score,support_ticket_rate,churn
57,56.0,Premium,Clothing,Debit Card,29144.89,46.44,185,0.8571428571428571,0.03783783783783784,0.5898305084745763,1.7142857142857142,0
58,55.0,Premium,Sports,Net Banking,15428.34,34.21,907,0.44,0.05512679162072767,2.338709677419355,0.02,0
59,60.0,Premium,Furniture,Cash,17390.94,42.48,1727,0.5476190476190477,0.024319629415170817,0.11155378486055777,0.30952380952380953,0
60,47.0,New,Electronics,Upi,26326.46,100.0,1721,0.6170212765957447,0.027309703660662404,0.43670886075949367,0.3191489361702128,0
61,64.0,Regular,Groceries,Upi,41621.19,4.33,88,0.75,0.18181818181818182,0.2727272727272727,0.875,1
62,49.0,Premium,Groceries,Credit Card,18063.84,12.92,1088,0.5714285714285714,0.012867647058823529,1.0625,0.5714285714285714,0
63,30.0,Regular,Sports,Net Banking,24684.6,37.91,947,0.8148148148148148,0.028511087645195353,0.3446327683615819,0.7407407407407407,0
64,68.0,Premium,Clothing,Net Banking,20517.86,12.17,1117,1.0,0.01342882721575649,0.43823529411764706,0.7333333333333333,0
65,40.0,New,Groceries,Debit Card,35291.32,13.55,676,1.0,0.034023668639053255,0.46511627906976744,0.13043478260869565,0
66,25.0,Premium,Clothing,Debit Card,37060.93,13.82,235,0.6428571428571429,0.059574468085106386,0.6456953642384106,1.1428571428571428,0
67,30.0,Regular,Groceries,Net Banking,15462.25,35.4,628,0.0,0.01910828025477707,1.0923076923076922,0.08333333333333333,0
68,62.0,Inactive,Books,Net Banking,24798.5,43.64,727,0.6122448979591837,0.06740027510316368,0.24829931972789115,0.30612244897959184,0
69,29.0,Regular,Books,Credit Card,6147.31,3.27,335,0.0967741935483871,0.09253731343283582,0.07539682539682539,0.5806451612903226,0
70,69.0,Regular,Electronics,Net Banking,6363.35,38.22,809,0.4375,0.019777503090234856,0.4919614147909968,1.1875,0
71,46.0,Regular,Books,Debit Card,49506.55,15.27,1311,0.15789473684210525,0.028985507246376812,0.050314465408805034,0.5,0
72,31.0,Inactive,Electronics,Cash,12373.33,27.6,992,0.6363636363636364,0.011088709677419355,0.012345679012345678,1.1818181818181819,0
73,36.0,Regular,Clothing,Cash,14494.56,42.98,1237,0.34782608695652173,0.037186742118027485,4.756756756756757,0.15217391304347827,0
74,60.0,New,Electronics,Credit Card,11628.07,7.45,1653,0.08571428571428572,0.02117362371445856,0.27007299270072993,0.05714285714285714,0
75,37.0,Regular,Groceries,Net Banking,23700.55,15.2,926,1.0,0.008639308855291577,0.33816425120772947,2.0,1
76,23.0,New,Sports,Credit Card,30383.83,1.29,1596,0.8571428571428571,0.013157894736842105,1.4661016949152543,0.8571428571428571,0
77,61.0,Inactive,Electronics,Cash,37935.31,23.53,922,0.22448979591836735,0.05314533622559653,0.3413173652694611,0.16326530612244897,0
78,58.0,Premium,Groceries,Net Banking,20713.23,16.05,620,0.5652173913043478,0.037096774193548385,0.7777777777777778,0.43478260869565216,0
79,60.0,New,Electronics,Net Banking,4858.96,12.62,1719,0.9,0.017452006980802792,3.3,0.4,0
80,44.0,New,Groceries,Debit Card,9785.34,18.09,576,0.0,0.006944444444444444,0.62890625,3.5,0
81,53.0,Regular,Groceries,Credit Card,25545.48,1.44,666,1.0,0.06756756756756757,0.48297213622291024,0.15555555555555556,0
82,53.0,New,Groceries,Credit Card,11622.68,42.07,1050,0.8333333333333334,0.005714285714285714,2.016949152542373,0.5,0
83,63.0,New,Sports,Credit Card,21066.77,24.12,815,0.9444444444444444,0.022085889570552148,0.2603305785123967,0.7777777777777778,1
84,30.0,Premium,Books,Credit Card,14174.25,39.5,609,0.4,0.008210180623973728,0.4131455399061033,3.2,1
85,64.0,Inactive,Furniture,Net Banking,24737.2,7.43,1592,0.4883720930232558,0.02701005025125628,0.4492753623188406,0.2558139534883721,0
86,52.0,New,Groceries,Upi,49048.34,11.94,1555,0.0,0.008360128617363344,0.30456852791878175,1.0,1
87,48.0,New,Sports,Upi,49050.5,24.77,1811,0.8809523809523809,0.02319160684704583,1.736842105263158,0.38095238095238093,0
88,24.0,Premium,Furniture,Debit Card,1259.71,7.21,723,0.5,0.04149377593360996,0.11904761904761904,0.06666666666666667,0
89,57.0,Inactive,Electronics,Net Banking,42690.9,42.97,1816,1.0,0.012114537444933921,0.4205128205128205,0.9090909090909091,1
90,52.0,Inactive,Electronics,Credit Card,31742.47,46.05,1587,0.8125,0.010081915563957152,1.641025641025641,0.125,0
91,58.0,New,Electronics,Upi,15323.57,1.45,912,0.4888888888888889,0.049342105263157895,0.08982035928143713,0.2,0
92,27.0,New,Groceries,Cash,34249.12,9.0,1429,0.6486486486486487,0.02589223233030091,0.23333333333333334,0.5135135135135135,0
93,33.0,Inactive,Electronics,Debit Card,23326.92,12.7,1417,0.9333333333333333,0.01058574453069866,1.3053435114503817,0.0,0
94,52.0,Premium,Groceries,Debit Card,49388.76,14.96,437,0.6086956521739131,0.05263157894736842,0.8119266055045872,0.34782608695652173,0
95,42.0,Premium,Clothing,Upi,28810.17,28.74,592,0.84,0.04222972972972973,0.2116991643454039,0.0,1
96,18.0,Inactive,Books,Upi,48693.34,45.53,478,0.7916666666666666,0.100418410041841,0.2901960784313726,0.14583333333333334,0
97,58.0,Inactive,Clothing,Cash,37901.08,38.37,1353,0.13636363636363635,0.032520325203252036,0.10315186246418338,0.45454545454545453,0
98,20.0,New,Electronics,Debit Card,18560.63,6.57,300,0.2894736842105263,0.12666666666666668,0.5526315789473685,0.34210526315789475,0
99,68.0,Regular,Furniture,Credit Card,45717.61,41.52,989,0.6363636363636364,0.033367037411526794,0.9393939393939394,0.2727272727272727,0
100,22.0,Regular,Books,Credit Card,36348.73,49.0,571,0.5681818181818182,0.07705779334500876,0.32867132867132864,0.045454545454545456,0
101,52.0,New,Groceries,Cash,37576.07,13.11,508,0.13636363636363635,0.08661417322834646,0.8367346938775511,0.25,0
102,48.0,Inactive,Furniture,Cash,45805.17,11.07,866,0.42857142857142855,0.02424942263279446,4.9393939393939394,0.6666666666666666,0
103,25.0,Premium,Electronics,Net Banking,49798.41,5.81,789,0.6,0.025348542458808618,1.140495867768595,0.2,0
104,60.0,New,Furniture,Upi,36466.66,44.27,602,0.8125,0.07973421926910298,0.07738095238095238,0.3125,0
105,20.0,Regular,Groceries,Cash,47552.48,42.77,764,0.5862068965517241,0.03795811518324607,3.450980392156863,0.3793103448275862,0
106,21.0,Regular,Clothing,Credit Card,47476.03,41.21,1641,0.0,0.004875076173065204,3.617021276595745,0.75,0
107,39.0,Premium,Books,Debit Card,10657.68,41.49,702,0.35135135135135137,0.05270655270655271,0.19014084507042253,0.4864864864864865,0
108,67.0,Inactive,Electronics,Credit Card,42991.1,7.23,1383,0.0,0.018799710773680405,2.074626865671642,0.3076923076923077,0
109,19.0,Premium,Groceries,Net Banking,29648.22,0.79,262,0.8125,0.061068702290076333,0.10294117647058823,0.25,0
110,65.0,New,Groceries,Credit Card,18420.93,29.68,1519,0.78,0.032916392363396975,0.5560344827586207,0.14,0
111,68.0,Regular,Groceries,Net Banking,48219.3,3.04,1488,0.14285714285714285,0.028225806451612902,0.4186991869918699,0.30952380952380953,0
112,46.0,Premium,Groceries,Upi,7842.52,6.31,810,0.8974358974358975,0.04814814814814815,0.509375,0.46153846153846156,0
113,56.0,Regular,Groceries,Upi,30468.63,4.96,954,0.3939393939393939,0.03459119496855346,0.08333333333333333,0.6060606060606061,0
114,32.0,Regular,Books,Debit Card,20237.14,36.48,796,0.7,0.03768844221105527,0.6832298136645962,0.3333333333333333,0
115,27.0,Premium,Electronics,Cash,5114.89,4.83,1180,0.0,0.005084745762711864,0.17801047120418848,2.8333333333333335,1
116,53.0,Inactive,Electronics,Cash,18003.1,33.27,669,0.3333333333333333,0.04035874439461883,0.8525345622119815,0.037037037037037035,0
117,40.0,Inactive,Furniture,Credit Card,8159.14,24.11,1591,0.35714285714285715,0.008799497171590195,1.6071428571428572,1.2142857142857142,0
118,35.0,Regular,Books,Credit Card,42335.18,48.73,1277,0.6071428571428571,0.02192638997650744,0.4952978056426332,0.7142857142857143,0
119,60.0,Premium,Electronics,Credit Card,35283.59,15.45,1189,0.2777777777777778,0.015138772077375946,0.5172413793103449,0.0,0
120,60.0,Premium,Electronics,Net Banking,31842.01,1.53,728,0.5416666666666666,0.06593406593406594,0.20588235294117646,0.25,0
121,28.0,Regular,Sports,Cash,38953.36,28.38,131,0.23809523809523808,0.16030534351145037,0.3181818181818182,0.19047619047619047,0
122,61.0,Regular,Groceries,Credit Card,21488.73,30.35,736,0.7441860465116279,0.058423913043478264,0.3286384976525822,0.13953488372093023,0
123,45.0,Regular,Sports,Cash,29860.15,26.35,142,0.5681818181818182,0.30985915492957744,0.0759493670886076,0.1590909090909091,0
124,18.0,Regular,Clothing,Upi,7293.12,100.0,389,0.62,0.12853470437017994,0.18452380952380953,0.0,0
125,26.0,New,Sports,Upi,25262.99,41.67,68,0.06666666666666667,0.22058823529411764,0.1043956043956044,0.8,1
126,47.0,Regular,Furniture,Credit Card,28883.28,35.47,695,0.42857142857142855,0.04028776978417266,0.35046728971962615,0.10714285714285714,0
127,28.0,Regular,Electronics,Upi,42301.98,12.17,1812,0.07142857142857142,0.01545253863134658,0.34105960264900664,0.5714285714285714,0
128,37.0,Regular,Groceries,Upi,8822.57,25.52,749,0.24,0.06675567423230974,2.305084745762712,0.32,0
129,64.0,Regular,Electronics,Credit Card,13170.43,8.67,1612,0.1,0.00620347394540943,2.4683544303797467,2.0,0
130,58.0,New,Books,Cash,38113.92,22.45,677,0.5405405405405406,0.05465288035450517,0.5689655172413793,0.5405405405405406,0
131,27.0,Premium,Groceries,Credit Card,31753.56,39.82,665,0.5517241379310345,0.04360902255639098,0.04950495049504951,0.3793103448275862,0
132,47.0,Premium,Electronics,Upi,41668.98,3.84,977,0.6666666666666666,0.02456499488229273,3.3617021276595747,0.7916666666666666,0
133,55.0,Premium,Groceries,Net Banking,32765.95,16.08,241,0.08108108108108109,0.15352697095435686,0.5286885245901639,0.10810810810810811,0
134,69.0,Premium,Furniture,Cash,9041.67,12.39,355,0.7857142857142857,0.11830985915492957,0.5022222222222222,0.38095238095238093,0
135,41.0,Regular,Groceries,Credit Card,38836.01,33.94,705,0.37037037037037035,0.03829787234042553,6.0,0.7407407407407407,0
136,24.0,Inactive,Groceries,Cash,12973.79,42.58,1389,0.10526315789473684,0.013678905687544997,0.1262135922330097,0.5263157894736842,1
137,27.0,Regular,Sports,Upi,33275.69,6.45,1347,0.7777777777777778,0.0334075723830735,0.06060606060606061,0.2,0
138,68.0,Premium,Sports,Cash,41533.47,36.94,897,0.9111111111111111,0.05016722408026756,0.38461538461538464,0.044444444444444446,0
139,50.0,Premium,Groceries,Credit Card,9423.01,10.71,188,0.2,0.10638297872340426,0.20080321285140562,0.35,1
140,36.0,New,Books,Cash,41838.43,44.18,801,0.22857142857142856,0.04369538077403246,8.5,0.2857142857142857,0
141,27.0,Premium,Books,Upi,38669.34,40.45,776,0.044444444444444446,0.05798969072164949,2.176470588235294,0.3111111111111111,0
142,61.0,New,Furniture,Net Banking,37743.36,39.19,1740,0.47368421052631576,0.010919540229885057,1.1416666666666666,0.3684210526315789,0
143,30.0,Inactive,Furniture,Credit Card,23353.16,14.09,1702,0.4482758620689655,0.017038777908343124,0.6581632653061225,0.5517241379310345,0
144,30.0,Regular,Electronics,Debit Card,24289.24,18.56,201,0.16666666666666666,0.208955223880597,3.452830188679245,0.38095238095238093,0
145,66.0,Regular,Groceries,Upi,7793.76,21.87,139,0.030303030303030304,0.23741007194244604,1.0175438596491229,0.3333333333333333,0
146,43.0,Regular,Clothing,Cash,49729.0,18.75,716,0.88,0.034916201117318434,5.466666666666667,0.12,0
147,68.0,Premium,Electronics,Cash,45911.11,23.62,40,0.7368421052631579,0.475,2.7083333333333335,0.7894736842105263,0
148,23.0,Regular,Clothing,Debit Card,27665.81,36.36,646,0.4,0.015479876160990712,0.4022140221402214,0.3,0
149,25.0,Regular,Groceries,Credit Card,39798.01,22.86,1324,0.8292682926829268,0.030966767371601207,2.245614035087719,0.4634146341463415,0
150,50.0,Regular,Sports,Credit Card,14917.96,0.08,1390,0.6,0.007194244604316547,0.3425414364640884,1.8,1
151,60.0,New,Groceries,Net Banking,47693.48,27.2,119,0.6,0.04201680672268908,0.5461538461538461,0.0,0
152,58.0,Regular,Clothing,Cash,1303.99,39.43,1535,0.125,0.031270358306188926,0.3502824858757062,0.4166666666666667,0
153,66.0,Premium,Electronics,Net Banking,27527.68,40.68,1323,0.9565217391304348,0.017384731670445956,2.2222222222222223,0.6086956521739131,0
154,29.0,Premium,Sports,Upi,47208.45,1.85,665,0.04,0.07518796992481203,0.11538461538461539,0.12,0
155,50.0,New,Groceries,Debit Card,2312.73,32.35,284,0.5882352941176471,0.05985915492957746,0.6258503401360545,0.058823529411764705,0
156,69.0,New,Groceries,Net Banking,22266.96,47.82,782,0.9166666666666666,0.061381074168797956,0.27586206896551724,0.3125,0
157,69.0,Regular,Books,Upi,36490.53,3.95,240,0.3333333333333333,0.025,0.15210355987055016,2.8333333333333335,1
158,23.0,Inactive,Clothing,Net Banking,22572.83,35.88,116,0.55,0.1724137931034483,2.058139534883721,0.7,0
159,64.0,Inactive,Groceries,Upi,32153.73,39.57,1080,0.6666666666666666,0.016666666666666666,0.6666666666666666,1.1111111111111112,0
160,69.0,Premium,Electronics,Upi,34065.4,21.91,814,0.5897435897435898,0.04791154791154791,0.27692307692307694,0.1794871794871795,0
161,54.0,Inactive,Electronics,Credit Card,22771.17,18.55,1114,0.8181818181818182,0.03949730700179533,0.8596491228070176,0.045454545454545456,0
162,41.0,Regular,Sports,Net Banking,12855.78,5.67,271,0.6666666666666666,0.06642066420664207,1.3333333333333333,0.8888888888888888,0
163,34.0,New,Clothing,Credit Card,14636.06,45.82,955,0.2,0.041884816753926704,0.20634920634920634,0.075,0
164,29.0,Premium,Books,Net Banking,48394.28,49.33,624,0.7954545454545454,0.07051282051282051,0.260233918128655,0.045454545454545456,0
165,37.0,Inactive,Electronics,Credit Card,25683.41,6.07,769,0.625,0.031209362808842653,0.34951456310679613,0.2916666666666667,0
166,53.0,Regular,Groceries,Net Banking,6923.68,44.21,871,0.8333333333333334,0.04133180252583238,2.3529411764705883,0.3333333333333333,0
167,67.0,Inactive,Electronics,Credit Card,48632.8,32.12,1727,0.5555555555555556,0.0052113491603937466,0.5194805194805194,1.7777777777777777,0
168,67.0,Inactive,Furniture,Credit Card,38505.19,6.45,652,0.6666666666666666,0.018404907975460124,0.05813953488372093,0.25,1
169,28.0,Regular,Sports,Cash,17628.14,47.05,1158,0.4,0.012953367875647668,0.14383561643835616,0.5333333333333333,0
170,35.0,Inactive,Clothing,Credit Card,26907.16,100.0,1379,0.225,0.029006526468455404,1.7471264367816093,0.45,0
171,57.0,Inactive,Electronics,Cash,4520.53,47.43,883,0.0,0.0022650056625141564,0.22972972972972974,10.0,1
172,57.0,New,Sports,Net Banking,14838.75,47.83,179,0.5428571428571428,0.19553072625698323,0.2540322580645161,0.34285714285714286,0
173,62.0,Premium,Groceries,Upi,24470.43,10.2,1533,1.0,0.01761252446183953,0.1189710610932476,0.37037037037037035,0
174,40.0,Premium,Books,Net Banking,25991.52,5.31,537,0.3333333333333333,0.0446927374301676,0.967741935483871,0.125,0
175,27.0,Premium,Clothing,Upi,43276.11,20.91,418,0.92,0.05980861244019139,1.024390243902439,0.72,0
176,66.0,New,Furniture,Net Banking,25188.61,15.43,523,0.5333333333333333,0.05736137667304015,2.0,0.4,0
177,31.0,Regular,Electronics,Net Banking,14427.14,29.88,46,0.5,0.08695652173913043,0.5164179104477612,3.75,0
178,24.0,Premium,Clothing,Net Banking,18605.99,20.16,428,0.7659574468085106,0.10981308411214953,4.291666666666667,0.02127659574468085,0
179,41.0,Regular,Electronics,Credit Card,25460.65,38.22,228,0.12,0.10964912280701754,1.1111111111111112,0.76,0
180,43.0,Regular,Furniture,Credit Card,37870.78,9.95,109,0.041666666666666664,0.22018348623853212,0.3946360153256705,0.6666666666666666,0
181,26.0,New,Furniture,Credit Card,7872.56,44.66,834,0.3333333333333333,0.03597122302158273,1.1666666666666667,0.6333333333333333,0
182,57.0,Inactive,Groceries,Credit Card,41500.32,26.62,784,0.9090909090909091,0.042091836734693876,0.39944903581267216,0.2727272727272727,0
183,39.0,New,Furniture,Net Banking,39939.36,36.27,573,0.95,0.034904013961605584,0.45892351274787535,0.0,0
184,59.0,Inactive,Clothing,Credit Card,3042.08,24.02,1712,0.5106382978723404,0.027453271028037383,0.6022304832713755,0.40425531914893614,0
185,61.0,Premium,Furniture,Debit Card,5939.83,0.95,870,0.5777777777777777,0.05172413793103448,0.6708074534161491,0.08888888888888889,0
186,50.0,Premium,Sports,Upi,26174.82,28.04,384,0.6666666666666666,0.0234375,0.36176470588235293,1.7777777777777777,0
187,47.0,Regular,Furniture,Net Banking,33955.49,43.38,423,0.8260869565217391,0.054373522458628844,0.47277936962750716,0.34782608695652173,0
188,33.0,New,Clothing,Upi,47103.53,49.11,1012,1.0,0.014822134387351778,1.222972972972973,0.4,0
189,40.0,Regular,Clothing,Credit Card,28887.1,27.16,619,0.5,0.012924071082390954,0.43842364532019706,0.5,1
190,63.0,Regular,Groceries,Debit Card,13193.98,23.95,311,0.0,0.08360128617363344,1.3269230769230769,0.3076923076923077,0
191,24.0,Regular,Clothing,Upi,33656.78,26.55,706,0.0,0.0056657223796034,0.1834862385321101,0.25,1
192,63.0,Premium,Sports,Net Banking,7304.62,48.23,1362,0.6,0.03671071953010279,1.2962962962962963,0.4,0
193,30.0,Regular,Clothing,Credit Card,3428.55,38.44,388,0.8095238095238095,0.10824742268041238,0.44011976047904194,0.16666666666666666,0
194,44.0,Premium,Books,Cash,39504.05,9.32,1264,0.34615384615384615,0.020569620253164556,0.06711409395973154,0.0,0
195,24.0,Regular,Groceries,Debit Card,27393.37,24.7,1686,0.40476190476190477,0.02491103202846975,1.8840579710144927,0.3333333333333333,0
196,25.0,Premium,Sports,Debit Card,32590.12,35.93,1192,0.8333333333333334,0.025167785234899327,23.625,0.3333333333333333,0
197,61.0,Premium,Furniture,Cash,44903.62,41.35,225,0.6097560975609756,0.18222222222222223,0.3181818181818182,0.04878048780487805,0
198,29.0,New,Groceries,Debit Card,838.09,19.18,1222,0.625,0.01309328968903437,0.8427947598253275,0.5,0
199,64.0,Premium,Clothing,Credit Card,18297.83,11.82,860,0.4523809523809524,0.04883720930232558,0.09064327485380116,0.3333333333333333,0
200,61.0,Regular,Sports,Credit Card,32116.21,47.03,1009,0.375,0.007928642220019821,0.8359788359788359,0.875,0
201,27.0,Inactive,Groceries,Debit Card,35246.07,45.64,1423,0.8888888888888888,0.018973998594518624,0.6195652173913043,0.2222222222222222,0
202,66.0,New,Groceries,Debit Card,35336.42,3.91,1202,0.9411764705882353,0.028286189683860232,0.10034602076124567,0.029411764705882353,0
203,52.0,Premium,Groceries,Net Banking,22371.11,34.01,1686,0.9411764705882353,0.020166073546856466,0.4214046822742475,0.058823529411764705,0
204,21.0,Premium,Furniture,Credit Card,23111.52,2.89,840,0.8518518518518519,0.03214285714285714,0.729957805907173,0.3333333333333333,0
205,34.0,Regular,Furniture,Net Banking,2741.85,17.23,94,0.0,0.05319148936170213,4.212121212121212,0.2,0
206,36.0,Premium,Books,Net Banking,38408.47,48.92,1810,0.6666666666666666,0.004972375690607734,0.32628398791540786,1.2222222222222223,0
207,42.0,Premium,Sports,Upi,43790.41,6.65,1113,0.7906976744186046,0.03863432165318958,0.17318435754189945,0.11627906976744186,0
208,26.0,Premium,Books,Debit Card,48935.29,23.15,536,0.5,0.0037313432835820895,0.3906810035842294,8.5,0
209,47.0,Premium,Clothing,Credit Card,25545.48,36.25,522,0.6923076923076923,0.02490421455938697,0.15517241379310345,1.0,0
210,31.0,Premium,Furniture,Net Banking,22598.83,33.6,509,1.0,0.005893909626719057,2.52,0.3333333333333333,0
211,52.0,Premium,Electronics,Debit Card,49677.43,11.71,648,0.6060606060606061,0.05092592592592592,0.27796610169491526,0.5454545454545454,0
212,27.0,Regular,Groceries,Cash,14120.12,27.84,904,1.0,0.022123893805309734,0.6237623762376238,0.25,0
213,53.0,Premium,Groceries,Credit Card,33731.45,39.29,644,0.6190476190476191,0.06521739130434782,1.0914634146341464,0.30952380952380953,0
