customer_id,age,city,customer_segment,product_category,order_count,average_order_value,total_spend,discount_percentage,days_since_last_order,website_visits,support_tickets,return_count,payment_type,customer_tenure_days
20,59.0,Chennai,Premium,Groceries,47,17295.48,812887.56,100.0,128,50,6,34,Net Banking,317
21,45.0,Mumbai,Regular,Groceries,16,43787.05,700592.8,3.77,282,26,1,0,Credit Card,1573
22,33.0,Mumbai,New,Groceries,31,11080.49,343495.19,20.05,31,43,12,0,Upi,573
23,68.0,Hyderabad,Regular,Groceries,45,47887.22,2154924.9,49.77,285,170,15,9,Debit Card,637
24,31.0,Chennai,Inactive,Sports,35,25545.48,123109.0,15.68,26,150,15,32,Net Banking,352
25,21.0,Kolkata,Premium,Books,12,3891.81,46701.72,3.4,121,104,3,9,Debit Card,1215
26,56.0,Chennai,Inactive,Electronics,27,33039.97,892079.19,28.26,162,67,6,21,Upi,518
27,34.0,Bangalore,Premium,Sports,42,15349.86,644694.12,15.81,38,3,14,39,Cash,234
28,22.0,Pune,Regular,Furniture,17,7056.6,119962.2,17.45,36,63,11,9,Credit Card,927
29,52.0,Delhi,Inactive,Books,42,26682.56,1120667.52,33.39,284,77,3,8,Debit Card,266
30,24.0,Pune,Premium,Clothing,19,30439.08,578342.52,35.88,105,176,20,8,Net Banking,1030
31,34.0,Chennai,Premium,Sports,28,41552.73,1163476.44,2.2,171,198,4,20,Debit Card,360
32,65.0,Hyderabad,New,Sports,28,28264.89,791416.92,5.59,354,39,17,1,Upi,1222
33,53.0,Mumbai,New,Electronics,3,15758.79,47276.37,44.95,21,92,6,1,Cash,240
34,44.0,Pune,New,Furniture,48,8150.39,391218.72,46.49,84,46,13,1,Credit Card,1538
35,39.0,Hyderabad,Inactive,Books,48,40632.09,1950340.32,13.34,360,28,12,2,Net Banking,485
36,30.0,Hyderabad,Regular,Clothing,15,11534.72,173020.8,33.0,205,85,8,2,Debit Card,749
37,59.0,Kolkata,New,Sports,35,16891.92,591217.2,1.38,134,46,18,16,Credit Card,252
38,56.0,Hyderabad,Regular,Sports,21,22101.5,464131.5,49.21,60,99,18,6,Debit Card,120
39,63.0,Hyderabad,Premium,Furniture,35,34499.43,1207480.05,47.01,344,51,11,27,Credit Card,1390
40,39.0,Bangalore,Inactive,Books,8,36127.84,289022.72,15.02,159,171,13,5,Upi,1457
41,36.0,Pune,Premium,Clothing,27,33414.01,902178.27,100.0,90,158,18,9,Upi,1152
42,18.0,Delhi,Regular,Clothing,28,39395.06,1103061.68,30.33,165,120,14,14,Cash,467
43,50.0,Kolkata,Premium,Sports,6,14547.43,87284.58,33.19,318,86,2,6,Debit Card,1407
44,37.0,Delhi,Regular,Electronics,2,2787.58,5575.16,49.2,313,197,2,1,Upi,1319
45,54.0,Mumbai,New,Groceries,26,12577.23,327007.98,32.8,3,193,3,24,Upi,478
46,29.0,Kolkata,New,Electronics,36,12835.31,462071.16,42.42,234,35,14,33,Net Banking,1249
47,38.0,Hyderabad,Inactive,Books,47,44655.0,2098785.0,21.34,281,115,5,47,Net Banking,951
48,34.0,Delhi,Inactive,Clothing,50,38994.9,1949745.0,24.23,123,71,14,4,Debit Card,510
49,35.0,Bangalore,Regular,Furniture,6,7349.52,44097.12,11.56,356,40,6,0,Upi,864
50,39.0,Pune,New,Groceries,4,10738.3,42953.2,21.01,300,179,0,4,Upi,1006
51,18.0,Bangalore,Regular,Books,25,42745.67,1068641.75,47.67,215,138,17,25,Cash,481
52,49.0,Delhi,Regular,Groceries,32,1936.73,61975.36,16.81,348,104,5,29,Credit Card,1304
53,52.0,Chennai,New,Furniture,37,33318.49,1232784.13,4.2,220,35,14,11,Credit Card,562
54,42.0,Bangalore,Regular,Groceries,21,17206.28,361331.88,43.98,143,193,13,8,Credit Card,993
55,19.0,Pune,Premium,Groceries,15,32682.13,490231.95,39.06,334,11,0,7,Debit Card,1748
56,19.0,Mumbai,Regular,Electronics,31,33638.21,1042784.51,28.2,112,120,8,23,Credit Card,1270
57,56.0,Chennai,Premium,Clothing,7,29144.89,204014.23,46.44,295,174,12,6,Debit Card,185
58,55.0,Delhi,Premium,Sports,50,15428.34,771417.0,34.21,62,145,1,22,Net Banking,907
59,60.0,Bangalore,Premium,Furniture,42,17390.94,730419.48,42.48,251,28,13,23,Cash,1727
60,47.0,Mumbai,New,Electronics,47,26326.46,1237343.62,100.0,316,138,15,29,Upi,1721
61,64.0,Pune,Regular,Groceries,16,41621.19,665939.04,4.33,231,63,14,12,Upi,88
62,49.0,Bangalore,Premium,Groceries,14,18063.84,252893.76,12.92,144,153,8,8,Credit Card,1088
63,30.0,Chennai,Regular,Sports,27,24684.6,666484.2,37.91,354,122,20,22,Net Banking,947
64,68.0,Chennai,Premium,Clothing,15,20517.86,307767.9,12.17,340,149,11,15,Net Banking,1117
65,40.0,Hyderabad,New,Groceries,23,35291.32,811700.36,13.55,129,60,3,23,Debit Card,676
66,25.0,Pune,Premium,Clothing,14,37060.93,518853.02,13.82,302,195,16,9,Debit Card,235
67,30.0,Delhi,Regular,Groceries,12,15462.25,185547.0,35.4,65,71,1,0,Net Banking,628
68,62.0,Mumbai,Inactive,Books,49,24798.5,1215126.5,43.64,294,73,15,30,Net Banking,727
69,29.0,Chennai,Regular,Books,31,6147.31,190566.61,3.27,252,19,18,3,Credit Card,335
70,69.0,Pune,Regular,Electronics,16,6363.35,101813.6,38.22,311,153,19,7,Net Banking,809
71,46.0,Hyderabad,Regular,Books,38,49506.55,1881248.9,15.27,318,16,19,6,Debit Card,1311
72,31.0,Delhi,Inactive,Electronics,11,12373.33,136106.63,27.6,81,1,13,7,Cash,992
73,36.0,Chennai,Regular,Clothing,46,14494.56,666749.76,42.98,37,176,7,16,Cash,1237
74,60.0,Mumbai,New,Electronics,35,11628.07,406982.45,7.45,137,37,2,3,Credit Card,1653
75,37.0,Pune,Regular,Groceries,8,23700.55,189604.4,15.2,207,70,16,8,Net Banking,926
76,23.0,Chennai,New,Sports,21,30383.83,638060.43,1.29,118,173,18,18,Credit Card,1596
77,61.0,Delhi,Inactive,Electronics,49,37935.31,1858830.19,23.53,334,114,8,11,Cash,922
78,58.0,Kolkata,Premium,Groceries,23,20713.23,476404.29,16.05,54,42,10,13,Net Banking,620
79,60.0,Bangalore,New,Electronics,30,4858.96,145768.8,12.62,60,198,12,27,Net Banking,1719
80,44.0,Pune,New,Groceries,4,9785.34,39141.36,18.09,256,161,14,0,Debit Card,576
81,53.0,Mumbai,Regular,Groceries,45,25545.48,1102195.35,1.44,323,156,7,45,Credit Card,666
82,53.0,Chennai,New,Groceries,6,11622.68,69736.08,42.07,59,119,3,5,Credit Card,1050
83,63.0,Delhi,New,Sports,18,21066.77,379201.86,24.12,242,63,14,17,Credit Card,815
84,30.0,Kolkata,Premium,Books,5,14174.25,70871.25,39.5,213,88,16,2,Credit Card,609
85,64.0,Unknown,Inactive,Furniture,43,24737.2,1063699.6,7.43,276,124,11,21,Net Banking,1592
86,52.0,Bangalore,New,Groceries,13,49048.34,637628.42,11.94,197,60,13,0,Upi,1555
87,48.0,Bangalore,New,Sports,42,49050.5,2060121.0,24.77,19,33,16,37,Upi,1811
88,24.0,Hyderabad,Premium,Furniture,30,1259.71,37791.3,7.21,336,40,2,15,Debit Card,723
89,57.0,Bangalore,Inactive,Electronics,22,42690.9,939199.8,42.97,195,82,20,22,Net Banking,1816
90,52.0,Chennai,Inactive,Electronics,16,31742.47,507879.52,46.05,117,192,2,13,Credit Card,1587
91,58.0,Chennai,New,Electronics,45,15323.57,689560.65,1.45,167,15,9,22,Upi,912
92,27.0,Delhi,New,Groceries,37,34249.12,1267217.44,9.0,90,21,19,24,Cash,1429
93,33.0,Kolkata,Inactive,Electronics,15,23326.92,349903.8,12.7,131,171,0,14,Debit Card,1417
94,52.0,Mumbai,Premium,Groceries,23,49388.76,1135941.48,14.96,218,177,8,14,Debit Card,437
95,42.0,Kolkata,Premium,Clothing,25,28810.17,720254.25,28.74,359,76,0,21,Upi,592
96,18.0,Pune,Inactive,Books,48,48693.34,2337280.32,45.53,255,74,7,38,Upi,478
97,58.0,Mumbai,Inactive,Clothing,44,37901.08,1667647.52,38.37,349,36,20,6,Cash,1353
98,20.0,Delhi,New,Electronics,38,18560.63,705303.94,6.57,152,84,13,11,Debit Card,300
99,68.0,Pune,Regular,Furniture,33,45717.61,1508681.13,41.52,132,124,9,21,Credit Card,989
100,22.0,Mumbai,Regular,Books,44,36348.73,1599344.12,49.0,286,94,2,25,Credit Card,571
101,52.0,Chennai,New,Groceries,44,37576.07,1653347.08,13.11,196,164,11,6,Cash,508
102,48.0,Chennai,Inactive,Furniture,21,45805.17,961908.57,11.07,33,163,14,9,Cash,866
103,25.0,Mumbai,Premium,Electronics,20,49798.41,995968.2,5.81,121,138,4,12,Net Banking,789
104,60.0,Pune,New,Furniture,48,36466.66,1750399.68,44.27,336,26,15,39,Upi,602
105,20.0,Bangalore,Regular,Groceries,29,47552.48,1379021.92,42.77,51,176,11,17,Cash,764
106,21.0,Bangalore,Regular,Clothing,8,47476.03,379808.24,41.21,47,170,6,0,Credit Card,1641
107,39.0,Delhi,Premium,Books,37,10657.68,394334.16,41.49,284,54,18,13,Debit Card,702
108,67.0,Mumbai,Inactive,Electronics,26,42991.1,773839.8,7.23,67,139,8,0,Credit Card,1383
109,19.0,Mumbai,Premium,Groceries,16,29648.22,474371.52,0.79,136,14,4,13,Net Banking,262
110,65.0,Chennai,New,Groceries,50,18420.93,921046.5,29.68,232,129,7,39,Credit Card,1519
111,68.0,Kolkata,Regular,Groceries,42,48219.3,2025210.6,3.04,246,103,13,6,Net Banking,1488
112,46.0,Chennai,Premium,Groceries,39,7842.52,305858.28,6.31,320,163,18,35,Upi,810
113,56.0,Kolkata,Regular,Groceries,33,30468.63,1005464.79,4.96,360,30,20,13,Upi,954
114,32.0,Hyderabad,Regular,Books,30,20237.14,607114.2,36.48,161,110,10,21,Debit Card,796
115,27.0,Kolkata,Premium,Electronics,6,5114.89,30689.34,4.83,191,34,17,0,Cash,1180
116,53.0,Bangalore,Inactive,Electronics,27,18003.1,486083.7,33.27,217,185,1,9,Cash,669
117,40.0,Chennai,Inactive,Furniture,14,8159.14,114227.96,24.11,56,90,17,5,Credit Card,1591
118,35.0,Pune,Regular,Books,28,42335.18,1185385.04,48.73,319,158,20,17,Credit Card,1277
119,60.0,Delhi,Premium,Electronics,18,35283.59,635104.62,15.45,174,90,0,5,Credit Card,1189
120,60.0,Bangalore,Premium,Electronics,48,31842.01,1528416.48,1.53,272,56,12,26,Net Banking,728
121,28.0,Bangalore,Regular,Sports,21,38953.36,818020.56,28.38,44,14,4,5,Cash,131
122,61.0,Chennai,Regular,Groceries,43,21488.73,924015.39,30.35,213,70,6,32,Credit Card,736
123,45.0,Chennai,Regular,Sports,44,29860.15,1313846.6,26.35,158,12,7,25,Cash,142
124,18.0,Mumbai,Regular,Clothing,50,7293.12,364656.0,100.0,168,31,0,31,Upi,389
125,26.0,Bangalore,New,Sports,15,25262.99,378944.85,41.67,182,19,12,1,Upi,68
126,47.0,Chennai,Regular,Furniture,28,28883.28,808731.84,35.47,214,75,3,12,Credit Card,695
127,28.0,Hyderabad,Regular,Electronics,28,42301.98,1184455.44,12.17,302,103,16,2,Upi,1812
128,37.0,Bangalore,Regular,Groceries,50,8822.57,441128.5,25.52,59,136,16,12,Upi,749
129,64.0,Mumbai,Regular,Electronics,10,13170.43,131704.3,8.67,79,195,20,1,Credit Card,1612
130,58.0,Kolkata,New,Books,37,38113.92,1410215.04,22.45,290,165,20,20,Cash,677
131,27.0,Hyderabad,Premium,Groceries,29,31753.56,920853.24,39.82,303,15,11,16,Credit Card,665
132,47.0,Hyderabad,Premium,Electronics,24,41668.98,1000055.52,3.84,47,158,19,16,Upi,977
133,55.0,Unknown,Premium,Groceries,37,32765.95,1212340.15,16.08,244,129,4,3,Net Banking,241
134,69.0,Bangalore,Premium,Furniture,42,9041.67,379750.14,12.39,225,113,16,33,Cash,355
135,41.0,Bangalore,Regular,Groceries,27,38836.01,1048572.27,33.94,27,162,20,10,Credit Card,705
136,24.0,Pune,Inactive,Groceries,19,12973.79,246502.01,42.58,309,39,10,2,Cash,1389
137,27.0,Bangalore,Regular,Sports,45,33275.69,1497406.05,6.45,363,22,9,35,Upi,1347
138,68.0,Bangalore,Premium,Sports,45,41533.47,1869006.15,36.94,351,135,2,41,Cash,897
139,50.0,Bangalore,Premium,Groceries,20,9423.01,188460.2,10.71,249,50,7,4,Credit Card,188
140,36.0,Chennai,New,Books,35,41838.43,1464345.05,44.18,20,170,10,8,Cash,801
141,27.0,Mumbai,Premium,Books,45,38669.34,1740120.3,40.45,85,185,14,2,Upi,776
142,61.0,Delhi,New,Furniture,19,37743.36,717123.84,39.19,120,137,7,9,Net Banking,1740
143,30.0,Bangalore,Inactive,Furniture,29,23353.16,677241.64,14.09,196,129,16,13,Credit Card,1702
144,30.0,Mumbai,Regular,Electronics,42,24289.24,1020148.08,18.56,53,183,16,7,Debit Card,201
145,66.0,Mumbai,Regular,Groceries,33,7793.76,257194.08,21.87,114,116,11,1,Upi,139
146,43.0,Kolkata,Regular,Clothing,25,49729.0,1243225.0,18.75,15,82,3,22,Cash,716
147,68.0,Mumbai,Premium,Electronics,19,45911.11,872311.09,23.62,72,195,15,14,Cash,40
148,23.0,Chennai,Regular,Clothing,10,27665.81,276658.1,36.36,271,109,3,4,Debit Card,646
149,25.0,Chennai,Regular,Groceries,41,39798.01,1631718.41,22.86,57,128,19,34,Credit Card,1324
150,50.0,Pune,Regular,Sports,10,14917.96,149179.6,0.08,181,62,18,6,Credit Card,1390
151,60.0,Chennai,New,Groceries,5,47693.48,238467.4,27.2,260,142,0,3,Net Banking,119
152,58.0,Bangalore,Regular,Clothing,48,1303.99,62591.52,39.43,177,62,20,6,Cash,1535
153,66.0,Bangalore,Premium,Electronics,23,27527.68,633136.64,40.68,90,200,14,22,Net Banking,1323
154,29.0,Mumbai,Premium,Sports,50,47208.45,2360422.5,1.85,104,12,6,2,Upi,665
155,50.0,Bangalore,New,Groceries,17,2312.73,39316.41,32.35,147,92,1,10,Debit Card,284
156,69.0,Bangalore,New,Groceries,48,22266.96,1068814.08,47.82,174,48,15,44,Net Banking,782
157,69.0,Kolkata,Regular,Books,6,36490.53,218943.18,3.95,309,47,17,2,Upi,240
158,23.0,Bangalore,Inactive,Clothing,20,22572.83,451456.6,35.88,86,177,14,11,Net Banking,116
159,64.0,Bangalore,Inactive,Groceries,18,32153.73,578767.14,39.57,30,20,20,12,Upi,1080
160,69.0,Mumbai,Premium,Electronics,39,34065.4,1328550.6,21.91,65,18,7,23,Upi,814
161,54.0,Chennai,Inactive,Electronics,44,22771.17,1001931.48,18.55,228,196,2,36,Credit Card,1114
162,41.0,Bangalore,Regular,Sports,18,12855.78,231404.04,5.67,96,128,16,12,Net Banking,271
163,34.0,Delhi,New,Clothing,40,14636.06,585442.4,45.82,252,52,3,8,Credit Card,955
164,29.0,Hyderabad,Premium,Books,44,48394.28,2129348.32,49.33,342,89,2,35,Net Banking,624
165,37.0,Mumbai,Inactive,Electronics,24,25683.41,616401.84,6.07,103,36,7,15,Credit Card,769
166,53.0,Pune,Regular,Groceries,36,6923.68,249252.48,44.21,34,80,12,30,Net Banking,871
167,67.0,Hyderabad,Inactive,Electronics,9,48632.8,437695.2,32.12,231,120,16,5,Credit Card,1727
168,67.0,Unknown,Inactive,Furniture,12,38505.19,462062.28,6.45,258,15,3,8,Credit Card,652
169,28.0,Unknown,Regular,Sports,15,17628.14,264422.1,47.05,146,21,8,6,Cash,1158
170,35.0,Mumbai,Inactive,Clothing,40,26907.16,1076286.4,100.0,87,152,18,9,Credit Card,1379
171,57.0,Bangalore,Inactive,Electronics,2,4520.53,9041.06,47.43,296,68,20,0,Cash,883
172,57.0,Chennai,New,Sports,35,14838.75,519356.25,47.83,248,63,12,19,Net Banking,179
173,62.0,Chennai,Premium,Groceries,27,24470.43,660701.61,10.2,311,37,10,27,Upi,1533
174,40.0,Bangalore,Premium,Books,24,25991.52,623796.48,5.31,124,120,3,8,Net Banking,537
175,27.0,Chennai,Premium,Clothing,25,43276.11,1081902.75,20.91,82,84,18,23,Upi,418
176,66.0,Mumbai,New,Furniture,30,25188.61,755658.3,15.43,12,24,12,16,Net Banking,523
177,31.0,Pune,Regular,Electronics,4,14427.14,57708.56,29.88,335,173,15,2,Net Banking,46
178,24.0,Hyderabad,Premium,Clothing,47,18605.99,874481.53,20.16,24,103,1,36,Net Banking,428
179,41.0,Pune,Regular,Electronics,25,25460.65,636516.25,38.22,144,160,19,3,Credit Card,228
180,43.0,Bangalore,Regular,Furniture,24,37870.78,908898.72,9.95,261,103,16,1,Credit Card,109
181,26.0,Bangalore,New,Furniture,30,7872.56,236176.8,44.66,72,84,19,10,Credit Card,834
182,57.0,Delhi,Inactive,Groceries,33,41500.32,1369510.56,26.62,363,145,9,30,Credit Card,784
183,39.0,Chennai,New,Furniture,20,39939.36,798787.2,36.27,353,162,0,19,Net Banking,573
184,59.0,Pune,Inactive,Clothing,47,3042.08,142977.76,24.02,269,162,19,24,Credit Card,1712
185,61.0,Delhi,Premium,Furniture,45,5939.83,267292.35,0.95,161,108,4,26,Debit Card,870
186,50.0,Kolkata,Premium,Sports,9,26174.82,235573.38,28.04,340,123,16,6,Upi,384
187,47.0,Pune,Regular,Furniture,23,33955.49,780976.27,43.38,349,165,8,19,Net Banking,423
188,33.0,Delhi,New,Clothing,15,47103.53,706552.95,49.11,148,181,6,15,Upi,1012
189,40.0,Pune,Regular,Clothing,8,28887.1,231096.8,27.16,203,89,4,4,Credit Card,619
190,63.0,Chennai,Regular,Groceries,26,13193.98,554147.16,23.95,104,138,8,0,Debit Card,311
191,24.0,Pune,Regular,Clothing,4,33656.78,134627.12,26.55,327,60,1,0,Upi,706
192,63.0,Kolkata,Premium,Sports,50,7304.62,365231.0,48.23,81,105,20,30,Net Banking,1362
193,30.0,Delhi,Regular,Clothing,42,3428.55,143999.1,38.44,334,147,7,34,Credit Card,388
194,44.0,Mumbai,Premium,Books,26,39504.05,1027105.3,9.32,149,10,0,9,Cash,1264
195,24.0,Bangalore,Regular,Groceries,42,27393.37,1150521.54,24.7,69,130,14,17,Debit Card,1686
196,25.0,Bangalore,Premium,Sports,30,32590.12,977703.6,35.93,8,189,10,25,Debit Card,1192
197,61.0,Mumbai,Premium,Furniture,41,44903.62,1841048.42,41.35,264,84,2,25,Cash,225
198,29.0,Mumbai,New,Groceries,16,838.09,13409.44,19.18,229,193,8,10,Debit Card,1222
199,64.0,Pune,Premium,Clothing,42,18297.83,768508.86,11.82,342,31,14,19,Credit Card,860
200,61.0,Kolkata,Regular,Sports,8,32116.21,256929.68,47.03,189,158,7,3,Credit Card,1009
201,27.0,Hyderabad,Inactive,Groceries,27,35246.07,951643.89,45.64,276,171,6,24,Debit Card,1423
202,66.0,Chennai,New,Groceries,34,35336.42,1201438.28,3.91,289,29,1,32,Debit Card,1202
203,52.0,Mumbai,Premium,Groceries,34,22371.11,760617.74,34.01,299,126,2,32,Net Banking,1686
204,21.0,Hyderabad,Premium,Furniture,27,23111.52,624011.04,2.89,237,173,9,23,Credit Card,840
205,34.0,Chennai,Regular,Furniture,5,2741.85,13709.25,17.23,33,139,1,0,Net Banking,94
206,36.0,Hyderabad,Premium,Books,9,38408.47,345676.23,48.92,331,108,11,6,Net Banking,1810
207,42.0,Bangalore,Premium,Sports,43,43790.41,1882987.63,6.65,179,31,5,34,Upi,1113
208,26.0,Delhi,Premium,Books,2,48935.29,97870.58,23.15,279,109,17,1,Debit Card,536
209,47.0,Bangalore,Premium,Clothing,13,25545.48,609723.53,36.25,58,9,13,9,Credit Card,522
210,31.0,Chennai,Premium,Furniture,3,22598.83,67796.49,33.6,25,63,1,3,Net Banking,509
211,52.0,Mumbai,Premium,Electronics,33,49677.43,1639355.19,11.71,295,82,18,20,Debit Card,648
212,27.0,Kolkata,Regular,Groceries,20,14120.12,282402.4,27.84,303,189,5,20,Cash,904
213,53.0,Kolkata,Premium,Groceries,42,33731.45,1416720.9,39.29,164,179,13,26,Credit Card,644
214,42.0,Mumbai,New,Groceries,16,42542.38,680678.08,15.04,363,37,14,1,Net Banking,875
215,44.0,Pune,New,Electronics,25,12521.5,313037.5,10.17,332,21,14,11,Credit Card,1126
216,64.0,Mumbai,Premium,Clothing,25,33846.76,846169.0,30.15,38,49,18,23,Cash,1174
217,31.0,Kolkata,Regular,Books,22,15507.81,341171.82,45.45,109,49,3,15,Debit Card,1454
218,56.0,Mumbai,New,Clothing,36,16419.94,591117.84,14.15,239,137,20,22,Debit Card,565
219,41.0,Kolkata,New,Groceries,7,40239.42,281675.94,36.12,164,53,11,5,Upi,123
220,54.0,Delhi,Premium,Electronics,17,27888.92,474111.64,29.2,214,76,4,6,Upi,501
221,42.0,Pune,Regular,Groceries,36,32903.09,1184511.24,34.24,132,196,15,31,Net Banking,374
222,64.0,Bangalore,Premium,Electronics,47,27554.04,1295039.88,9.2,278,165,1,33,Credit Card,1748
223,22.0,Chennai,Premium,Groceries,9,42205.96,379853.64,11.57,363,39,0,3,Net Banking,963
224,41.0,Chennai,Inactive,Sports,43,46728.23,2009313.89,45.64,338,125,0,0,Net Banking,1159
225,44.0,Chennai,Premium,Furniture,47,14099.67,662684.49,48.87,9,129,13,11,Credit Card,227
226,51.0,Mumbai,Regular,Clothing,40,26559.57,1062382.8,40.76,137,102,2,23,Upi,970
227,54.0,Delhi,Regular,Clothing,44,41489.07,1825519.08,4.03,333,195,1,5,Upi,806
228,42.0,Pune,New,Electronics,41,967.78,39678.98,8.57,256,112,20,21,Cash,1787
229,24.0,Kolkata,Premium,Clothing,14,45113.01,631582.14,34.61,291,122,8,0,Credit Card,1431
230,35.0,Pune,Inactive,Sports,3,9378.05,28134.15,42.52,9,54,18,1,Upi,187
231,44.0,Mumbai,Inactive,Clothing,37,41815.2,1547162.4,19.46,277,85,12,8,Credit Card,1055
232,44.0,Bangalore,Premium,Electronics,28,11991.13,335751.64,3.8,310,197,19,19,Upi,1614
233,38.0,Chennai,Inactive,Clothing,29,24784.87,718761.23,17.79,193,111,5,21,Cash,1383
234,42.0,Chennai,Inactive,Clothing,16,35798.87,572781.92,4.1,79,98,20,4,Upi,678
235,41.0,Chennai,Premium,Electronics,20,22514.43,450288.6,38.07,53,34,2,5,Upi,949
236,53.0,Pune,New,Groceries,7,1799.96,12599.72,17.7,48,153,19,5,Upi,55
237,36.0,Hyderabad,New,Books,6,36379.77,218278.62,27.98,125,147,16,1,Cash,809
238,28.0,Mumbai,Regular,Clothing,18,24909.64,448373.52,3.16,223,71,13,9,Net Banking,1632
239,22.0,Bangalore,Regular,Clothing,47,31439.17,1477640.99,29.69,101,118,3,8,Debit Card,43
240,43.0,Bangalore,Inactive,Groceries,22,22291.03,490402.66,21.53,334,153,4,9,Upi,1265
241,62.0,Mumbai,New,Groceries,12,25545.48,578957.28,48.44,150,189,20,7,Cash,1631
242,33.0,Bangalore,New,Clothing,26,18568.27,482775.02,46.6,103,152,17,5,Cash,1602
243,53.0,Chennai,New,Sports,14,22203.52,310849.28,14.57,355,18,13,10,Net Banking,315
244,58.0,Delhi,Regular,Clothing,43,8130.09,349593.87,21.16,194,19,14,38,Net Banking,1222
245,43.0,Pune,New,Books,45,21205.88,954264.6,1.84,185,180,17,38,Cash,204
246,24.0,Delhi,Inactive,Sports,23,8733.76,200876.48,30.63,289,166,20,12,Upi,1660
247,45.0,Chennai,Premium,Electronics,17,11489.05,195313.85,37.34,286,149,18,7,Net Banking,796
248,43.0,Hyderabad,Inactive,Furniture,45,25273.06,1137287.7,17.25,13,124,3,18,Upi,205
249,25.0,Mumbai,Regular,Clothing,22,23038.97,506857.34,10.34,248,90,15,3,Net Banking,1508
250,62.0,Hyderabad,Regular,Electronics,20,2711.81,54236.2,35.54,12,88,20,3,Cash,1668
251,28.0,Delhi,New,Electronics,36,8426.72,303361.92,27.99,237,60,12,11,Credit Card,1341
252,60.0,Hyderabad,New,Electronics,48,30898.29,1483117.92,9.87,304,110,12,0,Debit Card,451
253,35.0,Chennai,Inactive,Electronics,35,9754.51,341407.85,16.3,235,30,8,31,Net Banking,1338
254,38.0,Bangalore,Inactive,Groceries,38,6154.49,233870.62,17.6,235,159,5,19,Cash,1238
255,23.0,Mumbai,Regular,Electronics,16,15616.31,249860.96,9.15,356,37,16,12,Upi,1251
256,26.0,Pune,New,Groceries,12,24590.18,295082.16,26.87,331,45,17,2,Net Banking,621
257,26.0,Mumbai,Regular,Books,29,31160.79,903662.91,43.28,5,125,4,6,Upi,1180
258,50.0,Kolkata,New,Sports,32,21073.71,674358.72,41.99,251,43,2,1,Debit Card,628
259,20.0,Delhi,Regular,Furniture,19,8826.34,167700.46,22.87,254,141,16,3,Cash,263
260,35.0,Pune,Regular,Furniture,49,2559.72,125426.28,35.95,280,56,13,6,Cash,1568
261,33.0,Delhi,Premium,Groceries,17,17754.56,301827.52,40.84,225,31,7,6,Cash,1441
262,40.0,Hyderabad,Premium,Furniture,9,39350.04,354150.36,40.68,31,146,11,8,Debit Card,1252
263,52.0,Mumbai,Regular,Sports,19,14822.0,281618.0,13.37,264,174,3,4,Upi,151
264,35.0,Mumbai,Premium,Clothing,10,35714.05,357140.5,41.42,347,101,15,2,Cash,1325
265,35.0,Hyderabad,New,Groceries,5,31864.57,159322.85,44.01,48,104,16,5,Debit Card,1452
266,41.0,Hyderabad,New,Groceries,38,622.42,23651.96,38.71,48,188,14,22,Credit Card,1659
267,52.0,Bangalore,Regular,Groceries,14,24988.39,349837.46,16.14,146,87,17,9,Credit Card,1189
